,school_name,address,postal_code,dgp_code,zone_code,cluster_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,sch_lat,sch_lon,dist_centre,type_primary,type_secondary,type_juniorcollege,type_polytechnic,type_university
0,NATIONAL JUNIOR COLLEGE,37 HILLCREST ROAD,288913,BUKIT TIMAH,SOUTH,SOUTH 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,MIXED LEVEL,No,No,No,Yes,1.3302929,103.8041109,7.3755,0,0,1,0,0
1,TEMASEK JUNIOR COLLEGE,22 BEDOK SOUTH ROAD,469278,BEDOK,EAST,EAST 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,MIXED LEVEL,No,No,No,Yes,1.3184928,103.9355673,10.1093,0,0,1,0,0
2,VICTORIA JUNIOR COLLEGE,20 MARINE VISTA,449035,BEDOK,EAST,EAST 7,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,Yes,1.3067018,103.9199828,8.0266,0,0,1,0,0
3,EUNOIA JUNIOR COLLEGE,53 MOUNT SINAI ROAD,276880,BISHAN,NORTH,NORTH 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,Yes,1.3135221,103.7870186,7.8912,0,0,1,0,0
4,ANDERSON SERANGOON JUNIOR COLLEGE,4500 ANG MO KIO AVENUE 6,569843,ANG MO KIO,NORTH,NORTH 5,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,1.3789441,103.8457609,10.591,0,0,1,0,0
5,YISHUN INNOVA JUNIOR COLLEGE,3 YISHUN RING ROAD,768675,YISHUN,NORTH,NORTH 8,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,1.4242643,103.8300253,15.7943,0,0,1,0,0
6,TAMPINES MERIDIAN JUNIOR COLLEGE,21 PASIR RIS STREET 71,518799,PASIR RIS,EAST,EAST 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,1.3763335,103.9369907,14.0029,0,0,1,0,0
7,JURONG PIONEER JUNIOR COLLEGE,21 TECK WHYE WALK,688258,CHOA CHU KANG,WEST,WEST 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,1.3843741,103.7543746,15.5417,0,0,1,0,0
8,CATHOLIC JUNIOR COLLEGE,129 WHITLEY ROAD,297822,NOVENA,SOUTH,SOUTH 5,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,1.3245561,103.8350288,4.879,0,0,1,0,0
9,ANGLO-CHINESE JUNIOR COLLEGE,25 DOVER CLOSE EAST,139745,QUEENSTOWN,WEST,WEST 1,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,1.3030426,103.7853584,7.657,0,0,1,0,0
10,ST. ANDREW'S JUNIOR COLLEGE,5 SORBY ADAMS DRIVE,357691,TOA PAYOH,SOUTH,SOUTH 5,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,1.3330652,103.8635764,5.6311,0,0,1,0,0
11,NANYANG JUNIOR COLLEGE,128 SERANGOON AVENUE 3,556111,SERANGOON,SOUTH,SOUTH 6,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,1.3502831,103.8664987,7.5698,0,0,1,0,0
12,HWA CHONG INSTITUTION,661 BUKIT TIMAH ROAD,269734,BUKIT TIMAH,WEST,WEST 1,INDEPENDENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,MIXED LEVEL,Yes,No,No,Yes,1.3258887,103.8007472,7.3256,0,0,1,0,0
13,MILLENNIA INSTITUTE,60 BUKIT BATOK WEST AVENUE 8,658965,BUKIT BATOK,WEST,WEST 7,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,CENTRALISED INSTITUTE,No,No,No,No,1.3503193,103.7415936,14.281,0,0,1,0,0
14,BUKIT PANJANG PRIMARY SCHOOL,109 CASHEW ROAD,679676,BUKIT PANJANG,WEST,WEST 8,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3736218,103.7693749,13.5275,1,0,0,0,0
15,HAIG GIRLS' SCHOOL,51 KOON SENG ROAD,427072,GEYLANG,EAST,EAST 5,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3119434,103.9029026,6.5117,1,0,0,0,0
16,TECK WHYE PRIMARY SCHOOL,11 TECK WHYE WALK,688261,CHOA CHU KANG,WEST,WEST 5,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.38365,103.7532919,15.5681,1,0,0,0,0
17,JURONG PRIMARY SCHOOL,320 JURONG EAST STREET 32,609476,JURONG EAST,WEST,WEST 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3486002,103.7331566,14.9991,1,0,0,0,0
18,QUEENSTOWN PRIMARY SCHOOL,310 MARGARET DR,149303,QUEENSTOWN,SOUTH,SOUTH 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.2955937,103.8075486,5.0576,1,0,0,0,0
19,RADIN MAS PRIMARY SCHOOL,1 BUKIT PURMEI AVENUE,99840,BUKIT MERAH,SOUTH,SOUTH 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.2749582,103.8241883,3.1958,1,0,0,0,0
20,RAFFLES GIRLS' PRIMARY SCHOOL,21 HILLCREST ROAD,289072,BUKIT TIMAH,SOUTH,SOUTH 3,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,Yes,No,1.3294043,103.8064429,7.1219,1,0,0,0,0
