,stn_code,mrt_station_english,mrt_line_english,stn_lat,stn_lon,dist_centre
0,NS1,Jurong East,North South Line,1.3325302,103.7426431,13.2586
1,NS2,Bukit Batok,North South Line,1.3495125,103.7497692,13.4623
2,NS3,Bukit Gombak,North South Line,1.3586944,103.752085,13.8356
3,NS4,Choa Chu Kang,North South Line,1.3857565,103.7445093,16.4287
4,NS5,Yew Tee,North South Line,1.397535,103.7474051,17.139
5,NS7,Kranji,North South Line,1.4247398,103.7620183,18.5585
6,NS8,Marsiling,North South Line,1.4328079,103.7742067,18.6603
7,NS9,Woodlands,North South Line,1.4365964,103.7858442,18.4871
8,NS10,Admiralty,North South Line,1.4406054,103.8005515,18.3279
9,NS11,Sembawang,North South Line,1.4487734,103.8197832,18.6749
10,NS12,Canberra,North South Line,1.4431367,103.8297118,17.8768
11,NS13,Yishun,North South Line,1.4294015,103.8347906,16.2904
12,NS14,Khatib,North South Line,1.4171305,103.8326918,14.9661
13,NS15,Yio Chu Kang,North South Line,1.3819602,103.8446515,10.9338
14,NS16,Ang Mo Kio,North South Line,1.3694286,103.8494552,9.516
15,NS17,Bishan,North South Line,1.3510189,103.8500572,7.4673
16,NS18,Braddell,North South Line,1.3401052,103.8467559,6.2739
17,NS19,Toa Payoh,North South Line,1.3323764,103.8477238,5.4083
18,NS20,Novena,North South Line,1.321103,103.8444058,4.2126
19,NS21,Newton,North South Line,1.3125703,103.8380316,3.5232
20,NS22,Orchard,North South Line,1.3031675,103.8321716,3.0352
21,NS23,Somerset,North South Line,1.3002529,103.8391583,2.2786
22,NS24,Dhoby Ghaut,North South Line,1.2990644,103.8452256,1.8253
23,NS25,City Hall,North South Line,1.2929899,103.8525426,1.0177
24,NS26,Raffles Place,North South Line,1.2839333,103.8514631,0.0055
25,NS27,Marina Bay,North South Line,1.2763111,103.854605,0.912
26,NS28,Marina South Pier,North South Line,1.2706752,103.8622806,1.8976
27,EW1,Pasir Ris,East West Line,1.372842,103.9493334,14.7046
28,EW2,Tampines,East West Line,1.3533983,103.944904,12.9475
29,EW3,Simei,East West Line,1.3426558,103.9538201,13.1214
30,EW4,Tanah Merah,East West Line,1.3270649,103.9457231,11.5254
31,EW5,Bedok,East West Line,1.3242683,103.9296731,9.7841
32,EW6,Kembangan,East West Line,1.3209297,103.91294,7.9777
33,EW7,Eunos,East West Line,1.3195173,103.9028941,6.9539
34,EW8,Paya Lebar,East West Line,1.3183703,103.8922082,5.9323
35,EW9,Aljunied,East West Line,1.3162385,103.8824967,4.9819
36,EW10,Kallang,East West Line,1.3117818,103.8715871,3.822
37,EW11,Lavender,East West Line,1.3073919,103.8627846,2.8987
38,EW12,Bugis,East West Line,1.3003665,103.8556367,1.8884
39,EW13,City Hall,East West Line,1.2929899,103.8525426,1.0177
40,EW14,Raffles Place,East West Line,1.2839333,103.8514631,0.0055
41,EW15,Tanjong Pagar,East West Line,1.2754509,103.8464451,1.0951
42,EW16,Outram Park,East West Line,1.2802415,103.8400521,1.3365
43,EW17,Tiong Bahru,East West Line,1.2861946,103.8269989,2.7365
44,EW18,Redhill,East West Line,1.2893675,103.8169976,3.8846
45,EW19,Queenstown,East West Line,1.2953809,103.8054769,5.2748
46,EW20,Commonwealth,East West Line,1.3020213,103.7987143,6.2063
47,EW21,Buona Vista,East West Line,1.3062753,103.7903632,7.2397
48,EW22,Dover,East West Line,1.3117047,103.7784466,8.6924
49,EW23,Clementi,East West Line,1.3141696,103.7657736,10.11
50,EW24,Jurong East,East West Line,1.3325302,103.7426431,13.2586
51,EW25,Chinese Garden,East West Line,1.3422343,103.7324148,14.7465
52,EW26,Lakeside,East West Line,1.3440754,103.7210633,15.9745
53,EW27,Boon Lay,East West Line,1.3384207,103.7061455,17.2637
54,EW28,Pioneer,East West Line,1.3373429,103.6971431,18.1648
55,EW29,Joo Koon,East West Line,1.3275038,103.6785247,19.8371
56,EW30,Gul Circle,East West Line,1.3192786,103.6607917,21.569
57,EW31,Tuas Crescent,East West Line,1.3207561,103.6490072,22.8876
58,EW32,Tuas West Road,East West Line,1.3298504,103.6392995,24.1441
59,EW33,Tuas Link,East West Line,1.3405317,103.6372497,24.6434
60,CG1,Expo,Changi Airport Branch Line,1.3352648,103.9620702,13.5581
61,CG2,Changi Airport,Changi Airport Branch Line,1.3563414,103.9892766,17.3105
62,NE1,HarbourFront,North East Line,1.2653894,103.8215302,3.9174
63,NE3,Outram Park,North East Line,1.2802415,103.8400521,1.3365
64,NE4,Chinatown,North East Line,1.2839641,103.8431419,0.9295
65,NE5,Clarke Quay,North East Line,1.2874521,103.8461192,0.717
66,NE6,Dhoby Ghaut,North East Line,1.2990644,103.8452256,1.8253
67,NE7,Little India,North East Line,1.3076984,103.8500936,2.6517
68,NE8,Farrer Park,North East Line,1.3131403,103.8547547,3.2725
69,NE9,Boon Keng,North East Line,1.3199396,103.8620527,4.1769
70,NE10,Potong Pasir,North East Line,1.3313781,103.8693635,5.6422
71,NE11,Woodleigh,North East Line,1.3398282,103.8709609,6.5865
72,NE12,Serangoon,North East Line,1.3510483,103.8710704,7.7795
73,NE13,Kovan,North East Line,1.3599019,103.8844947,9.2156
74,NE14,Hougang,North East Line,1.3703347,103.8922618,10.6291
75,NE15,Buangkok,North East Line,1.3836942,103.89305,12.0233
76,NE16,Sengkang,North East Line,1.3918291,103.8954057,12.9598
77,NE17,Punggol,North East Line,1.4051566,103.9026363,14.637
