,job_id,job_title,company_name,company_address,job_category,job_url,job_description,job_requirements,employment_type,seniority,job_skills,pay_min,pay_max,pay_type,posting_date,closing_date
0,JOB-2019-0036660,Data Analyst (Data Science),BLACKBOX RESEARCH PTE LTD,"SINGAPORE POST CENTRE, 10 EUNOS ROAD 8 408600",Others,https://www.mycareersfuture.sg/job/data-analyst-blackbox-research-28344158350d737235436fa44129e661,"As a Data Analyst, you will take charge of the full lifecycle of analytics from requirement retrieval to implementation, as well as maintaining Data warehouse and analytics solutions. You will devise ways to extract and acquire data, using them to obtain business insights and solutions.",,Full Time,Executive,"['Analysis', 'Business Analysis', 'Clinical Data Management', 'Clinical Trials', 'Data Analysis', 'Data Management', 'Databases', 'Earth Science', 'EDC', 'GCP', 'Information Management', 'Leadership', 'Management', 'Microsoft Office', 'Microsoft SQL Server', 'Oracle Clinical', 'Program Management', 'Project Management', 'Research', 'SQL']","$2,800","$3,600",Monthly,04 May 2019,03 Jun 2019
1,JOB-2019-0094697,Data Analyst (HR) (JD#5114),SCIENTE INTERNATIONAL PTE. LTD.,"THE SIGNATURE, 51 CHANGI BUSINESS PARK CENTRAL 2 486066",Information Technology,https://www.mycareersfuture.sg/job/data-analyst-sciente-international-4754b25a7612ab91a5e32b0922f54ab6,"An exciting opportunity for Analytics professionals to deepen skill sets in Data Analysis for the Human Resource (HR) department.    He/She will need to to develop advanced HR analytics strategies, to apply people analytics using advanced analytics technologies to solve problems through analytics driven insights. ","Bachelor's degree, preferably in a field of Applied Statistics, Data Mining, Machine Learning or Computer Science; Minimum 2 years of relevant experience as Data Analyst, Data Scientist, Business Analytics; Hands-on experience working on large data sets and able to solve problems through analytics driven insights; Knowledge of basic data science concepts (e.g. machine-learning algorithms, natural language processing, business application of statistics); Possess technical expertise on data modelling, database design development and data mining techniques; Experience in data analysis technologies (e.g. Tableau, Python, R, SAS) and database development tools (e.g. SQL, Hadoop); Has a strong aptitude for numbers and comfortable handling large volumes of data; Meticulous and organised with good interpersonal and communication skills. Experience in applying data visualisation technique(s). Coordinate with HR business users/stakeholders to gather necessary elements for successful implementation of initiative(s); Perform full cycle of Data Analyst activities such as analysing data, identifying trends, developing insights and presenting key findings to the management;  Conducting assessment and examination of data from the source to ensure consistency; Design holistic analytical reports, articulating and transforming them into actionable people insights for key HR stakeholders; Ensures documentation of processes, analytics design, measure definitions, data integration, and development; Come up with ideas, experimenting, forming hypotheses and testing them out; Champion Data Analytics driven activities within the team, participate in data science projects to discover new analytics technologies and capacities through integrating current and new HR systems.",Permanent,Middle Management,"['Access', 'Analysis', 'Analytics', 'Business Analysis', 'Business Intelligence', 'Data Analysis', 'Data Mining', 'Databases', 'Management', 'Matlab', 'Microsoft Excel', 'Microsoft Office', 'PowerPoint', 'Project Management', 'R', 'Research', 'SAS', 'SPSS', 'SQL', 'Statistics']","$7,000","$12,000",Monthly,04 May 2019,03 Jun 2019
2,JOB-2019-0094154,Risk and Financial Data Analyst,CARGILL TSF ASIA PTE. LTD.,"CAPITAGREEN, 138 MARKET STREET 048946",Banking and Finance,https://www.mycareersfuture.sg/job/risk-financial-data-analyst-cargill-tsf-asia-1ad3d7a782219c18f99fb39502674890,"Cargill Trade & Capital Markets (TCM) was established in 1993 with the objective to create additional value for Cargill and its customers in the emerging markets. TCM works with customers and Cargill's commercial business units to provide financial solutions. TCM’s structuring expertise aids in mitigating documentary, cross-border and credit risks associated with trade finance.  In addition to meeting Cargill’s own trade finance and trade related funding needs, TCM also optimizes Cargill's physical trade flows to generate trade finance derived liquidity in emerging markets for customers. TCM is also engaged in risk management involving proprietary trading of financial products, foreign exchange, credit and money markets.  The Risk and Financial Analyst provides analytical and technical support to the business and its leadership team. The candidate will be responsible for producing analysis using accounting and risk data that would enable senior management to monitor and make decisions.  Working with the senior analyst, the individual will be exposed to a variety of projects and will be empowered to spearhead efforts to improve analysis for decision- making and business processes. These projects will often involve working closely with global finance, risk and operations teams, partnering them to shaping and influencing work and processes, with the aim of helping the business be more efficient and effective.  The individual should be a self-starter and curious – seeking to understand things and improve them, and culturally sensitive in his/her approach. Resourcefulness, persistence, attention to detail and creativity will also be key strengths that will enable the individual to be successful in creating solutions in the changing business environment, in spite of limited time and resources.   ","A technical background, preferably in Economics, Mathematics, Statistics, Data science or Computer science Minimum 3 years of relevant experience, with at least 2 years in analytics and/or as a data analyst Proven ability to work with Excel, VBA Macros, Python and SQL for data analysis Ability to break down complex problems, think conceptually and seek/create new solutions Strong interpersonal, written and verbal communication skills Curiosity and eagerness to learn and improve, a resourceful self starter that follows through and delivers tasks. A team player who is not afraid of digging deep into the details. Meticulous and highly numerate, with demonstrated ability to deliver under pressure Excellent organizational skills with ability to perform well under pressure and manage multiple priorities Comfortable working in a less structured environment A technical background, preferably in Economics, Mathematics, Statistics, Data science or Computer science Project management and stakeholder management skills desired Building workflows, tables and reports using Alteryx, Tableau and Power BI Understanding of accounting and finance concepts Understanding of credit and market risk concepts Career Development: As this position will have opportunities to work with senior leaders of several functions in different countries, it offers a unique platform to exhibit the individual’s skills and potential. High visibility, wide reach of projects, together with the interaction with multiple teams also creates an environment where the individual will be able to hone their leadership and problem-solving skills while showcasing it to a large audience.",Full Time,Professional,"['Analysis', 'Banking', 'Credit Risk', 'Data Analysis', 'Derivatives', 'Financial Analysis', 'Financial Modeling', 'Financial Risk', 'Fixed Income', 'Insurance', 'Management', 'Market Risk', 'Matlab', 'Microsoft Excel', 'Portfolio Management', 'Risk Management', 'SAS', 'SQL', 'Statistical Modeling', 'VBA']","$5,500","$8,250",Monthly,03 May 2019,02 Jun 2019
3,JOB-2019-0094456,Senior Data Analyst,JONES LANG LASALLE PROPERTY CONSULTANTS PTE LTD,"REPUBLIC PLAZA, 9 RAFFLES PLACE 048619",Real Estate / Property Management,https://www.mycareersfuture.sg/job/senior-data-analyst-jones-lang-lasalle-property-consultants-2517fa2b173ade32cee1e32d8ff437f0,"JLL is looking for a Data Quality Analyst to support a key Global Transformation/Migration Program. The person will work closely with Regional and Country data lead along with local business team. The role will have wide range of responsibilities in variety of areas including data cleansing, research on company/client data and interact with business to provide key information back to the system and performing integrations with 3rd Party systems and Peoplesoft Financials 9.2","Good technical writing, documentation, and communication skills. Self-motivated, positive attitude and a team player. Strong organizational skills and the ability to deal with large volumes of data. Ability to multi-task, work successfully under pressure, and effectively prioritize and manage time and workload to meet client needs. Proficient with technologies such as APIgee, SoapUI, SQL, Postman, Azure DevOps is highly desirable. Proficient working with MS Excel and Excel macros Working experience with API (Application Programming Interface) environments specifically for performing integration testing. Experience working with Peoplesoft Financials 9.2 is highly preferred. Minimum 5+ years of work experience in the fields of information science, data management and/or computer science. Good command of written and spoken English. Bachelor’s degree in Information Science, Computer Science, Mathematics, Statistics or a quantitative discipline in science, business, or social science. Proficient working with data cleansing, data validation using SQL Queries/other programming languages. Good knowledge in Accounting and Finance principles. Experience with Real Estate functional domain is highly preferred.",Full Time,Senior Executive,"['Access', 'Analysis', 'Analytics', 'Business Analysis', 'Business Intelligence', 'Data Analysis', 'Data Mining', 'Data Warehousing', 'Databases', 'Java', 'Microsoft Excel', 'Microsoft Office', 'Oracle', 'Project Management', 'R', 'Requirements Analysis', 'SAS', 'SQL', 'Statistical Modeling', 'Statistics']","$5,000","$7,000",Monthly,03 May 2019,02 Jun 2019
4,JOB-2019-0094395,Data Analyst,CAPGEMINI SINGAPORE PTE. LTD.,6 BATTERY ROAD 049909,Banking and Finance,https://www.mycareersfuture.sg/job/data-analyst-capgemini-singapore-9af8df1c797e66ee6f99687ad571b587,"Analyst profile with understanding of both. Transversal Banking business processes and Data Governance frameworkdefinition of major business terms (Business Glossary), support in the creation of a Data DictionaryGood understanding of data regulation (GDPR), Data protection, Data Security framework.Experience in Data Quality design including:  - definition of data quality dimensions that need to be measured,  - associated data quality rules and metrics,  - design Data Quality scorecards.Experience with Data hierarchies definition",,"Permanent, Full Time",Executive,"['Access', 'Business Analysis', 'Business Intelligence', 'Data Analysis', 'Database Design', 'Databases', 'HTML', 'Integration', 'Management', 'Microsoft Excel', 'Microsoft SQL Server', 'Process Improvement', 'Program Management', 'Project Management', 'SDLC', 'SharePoint', 'SQL', 'T-SQL', 'Visio', 'Windows']","$4,500","$6,500",Monthly,03 May 2019,02 Jun 2019
5,JOB-2019-0094277,Trade Data Analyst,COMMODITIES INTELLIGENCE CENTRE PTE. LTD.,"WHEELOCK PLACE, 501 ORCHARD ROAD 238880",Others,https://www.mycareersfuture.sg/job/trade-data-analyst-commodities-intelligence-centre-2303d2637fc2df03025e7c411f56bd4d,"As part of CIC's rapid growing, we are looking for a professional Statistic Analyst to further strengthen our current team that is already supporting our one-stop e-commerce B2B commodities trading platform that leverage on one of the latest technologies. If you want to transform your knowledge and skills into building something that would be valuable to the trading industry, join us! Job description: As the data business coordinator of the e-commerce platform, establish an overall database framework and system; Produce daily, weekly, monthly, quarterly, and annual business development data statistics reports according to business needs, and provide analysis reports for management decision-making; Provide market performance evaluation and trend forecast for each district, write business reports; use data warehouse and data mining statistics national sales report and penetration rate statistics to analyse and study market operations; conduct annual forecast and quarterly adjustment; Analyse each partner's overdue risk analysis to improve penetration prediction; use binary linear regression and decision tree node maps to improve business processes; Conduct market segmentation for customers, compare historical and regional sales, and conduct statistical analysis of national customer conditions; Estimate market conditions, conduct financial accounting, and prepare quarterly and annual financial and strategic plans; Organize the completion of numerous management consulting project research. Assist to prepare weekly report on commodities.",,Full Time,Executive,"['Access', 'Analysis', 'Analytics', 'Biostatistics', 'Business Intelligence', 'Data Analysis', 'Data Mining', 'Logistic Regression', 'Microsoft Excel', 'Microsoft Office', 'Predictive Analytics', 'Predictive Modeling', 'R', 'Research', 'SAS', 'SAS Programming', 'SPSS', 'SQL', 'Statistical Modeling', 'Statistics']","$4,000","$6,000",Monthly,03 May 2019,02 Jun 2019
6,JOB-2019-0092697,Data Analyst,BIO-RAD LABORATORIES (SINGAPORE) PTE LTD,,Manufacturing,https://www.mycareersfuture.sg/job/data-analyst-bio-rad-laboratories-84d93e4b5cffb6b9675c09b495471fbe,,"Bachelor Degree in Economics, Statistics or Mathematics related discipline. At least 2 years of working experience in data analysis in a MNC manufacturing company. Proficient in SAP and MS Office Applications and an expert in Excel and well versed in excel modeling. Good communication & interpersonal skills with ability to engage people from different levels. Strong data visualization and dashboards design skills. Resourceful and strong data analytical skills. An effective team player who is able to work independently. Self-motivated, results-oriented with a positive attitude. ",Permanent,Junior Executive,"['Access', 'Business Analysis', 'Business Intelligence', 'Data Analysis', 'Database Design', 'Databases', 'HTML', 'Integration', 'Management', 'Microsoft Excel', 'Microsoft SQL Server', 'Process Improvement', 'Program Management', 'Project Management', 'SDLC', 'SharePoint', 'SQL', 'T-SQL', 'Visio', 'Windows']","$3,500","$4,800",Monthly,03 May 2019,01 Jun 2019
7,JOB-2019-0093993,Data Management Specialist,STHREE PTE. LTD.,"CHINA SQUARE CENTRAL, 18 CROSS STREET 048423",Banking and Finance,https://www.mycareersfuture.sg/job/data-management-specialist-sthree-601dbc06ded091c878737c60a3bec04b,The main responsibility of the position is to be an effective team member of the Regional Data Office and to support the Regional Data Officer in all the following responsibility areas:,"Hands on and relevant experience in the above referenced areas of formal Data Governance and Data Quality Management disciplines in banks/financial-institutions. Ability to drive a data culture throughout the organization through influence and no direct authority Broad and comprehensive understanding of the latest technology trends and applicability in Data Management and related areas - e.g. big data, insight analytics, text mining, graph technology, artificial intelligence Data governance experience – working with data policies and procedures, setting-up and managing working groups, defining and enforcing data ownership as well as data maintenance / quality controls / issues remediation plans. Experience in regulatory reporting or engagement in data management disciplines will be valued Well developed business and requirements analysis skills, including good communication abilities (both speaking and listening) and stakeholders management (all levels) Experience in multidisciplinar projects (cross-divisional and cross-geographies) Strong project management skills Qualified with a degree Very good command in English language (written and verbal)",Contract,Professional,"['Access', 'Analysis', 'Analytics', 'Business Analysis', 'Business Intelligence', 'Data Analysis', 'Data Mining', 'Databases', 'Management', 'Matlab', 'Microsoft Excel', 'Microsoft Office', 'PowerPoint', 'Project Management', 'R', 'Research', 'SAS', 'SPSS', 'SQL', 'Statistics']","$10,000","$12,000",Monthly,03 May 2019,02 Jun 2019
8,JOB-2019-0093684,Data Planner,CHEIL SINGAPORE PTE. LTD.,,Advertising / Media ,https://www.mycareersfuture.sg/job/data-planner-cheil-singapore-8f8bce9d8a8d526b3328c42fc7dabbb0,2.  3.," from campaign planning / execution / performance analytics  experience (FB AD account) Basic web analytics experience ( ) Advanced data analytics knowledge and skills will be optional plus (SQL, Python, etc.)  : how to utilize the data points to build up consumer journey hypothesis  - how to deliver the message with logical story telling by utilizing the data points  skills - Build up the idea as good looking presentation format (Power Point)​​​​​​​  : Mange the resource to deliver the output along to the timeline  : Deal with client expectation with proper communication level","Permanent, Full Time",Professional,"['Access', 'Business Analysis', 'Business Intelligence', 'Data Analysis', 'Database Design', 'Databases', 'HTML', 'Integration', 'Management', 'Microsoft Excel', 'Microsoft SQL Server', 'Process Improvement', 'Program Management', 'Project Management', 'SDLC', 'SharePoint', 'SQL', 'T-SQL', 'Visio', 'Windows']",,,,03 May 2019,02 Jun 2019
9,JOB-2019-0093269,Data Analyst,OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,"PLAZA 8 @ CBP, 1 CHANGI BUSINESS PARK CRESCENT 486025",Information Technology,https://www.mycareersfuture.sg/job/data-analyst-optimum-solutions-9387d0e8847118b7cd1c8d0e39936fcd,,"BS in Mathematics, Economics, Computer Science, Information Management, Statistics or similar field from a reputable university Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, ETL frameworks, Python and R), and Google BigQuery Strong background on writing queries for both SQL and NOSQL (specifically MongoDB) Proficient knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc) Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy Adept at queries, report writing and presenting findings Experience with big data engines is a plus, such as hadoop",Full Time,Executive,"['Active Directory', 'Cisco Technologies', 'Data Center', 'Disaster Recovery', 'Firewalls', 'Integration', 'Network Administration', 'Network Engineering', 'Network Security', 'Networking', 'Routers', 'Security', 'Servers', 'Switches', 'TCP/IP', 'Telecommunications', 'Troubleshooting', 'VPN', 'WAN', 'Windows Server']","$4,000","$6,000",Monthly,02 May 2019,01 Jun 2019
